品種,年度,場所,発病率,日最大風速10m/s以上日数(日)_12_中旬,日最大風速10m/s以上日数(日)_12_下旬,日最大風速10m/s以上日数(日)_1_上旬,日最大風速10m/s以上日数(日)_1_中旬,日最大風速10m/s以上日数(日)_1_下旬,日最大風速10m/s以上日数(日)_2_上旬,日最大風速10m/s以上日数(日)_3_上旬,日最大風速10m/s以上日数(日)_3_中旬,日最大風速10m/s以上日数(日)_3_下旬,日最大風速10m/s以上日数(日)_4_中旬,日降水量10mm以上日数(日)_12_上旬,日降水量10mm以上日数(日)_12_中旬,日降水量10mm以上日数(日)_12_下旬,日降水量10mm以上日数(日)_1_上旬,日降水量10mm以上日数(日)_1_中旬,日降水量10mm以上日数(日)_1_下旬,日降水量10mm以上日数(日)_2_下旬,日降水量10mm以上日数(日)_3_下旬,日降水量10mm以上日数(日)_4_上旬,平均気温(℃)_12_中旬,平均気温(℃)_1_下旬,平均気温(℃)_2_上旬,平均気温(℃)_3_上旬,平均気温(℃)_4_上旬,日最高気温の平均(℃)_12_上旬,日最高気温の平均(℃)_2_下旬,日最高気温の平均(℃)_3_中旬,日最高気温の平均(℃)_4_中旬,日最低気温の平均(℃)_12_中旬,日最低気温の平均(℃)_12_下旬,日最低気温の平均(℃)_1_上旬,日最低気温の平均(℃)_1_中旬,日最低気温の平均(℃)_1_下旬,日最低気温の平均(℃)_2_上旬,日最低気温の平均(℃)_2_中旬,日最低気温の平均(℃)_3_上旬,日最低気温の平均(℃)_3_下旬,降水量の合計(mm)_12_上旬,降水量の合計(mm)_1_上旬,降水量の合計(mm)_1_下旬,降水量の合計(mm)_2_中旬,降水量の合計(mm)_3_上旬,降水量の合計(mm)_3_中旬,降水量の合計(mm)_4_中旬,日照時間(時間)_12_上旬,日照時間(時間)_12_中旬,日照時間(時間)_12_下旬,日照時間(時間)_1_上旬,日照時間(時間)_1_中旬,日照時間(時間)_1_下旬,日照時間(時間)_2_上旬,日照時間(時間)_2_中旬,日照時間(時間)_2_下旬,日照時間(時間)_3_上旬,日照時間(時間)_3_中旬,日照時間(時間)_3_下旬,日照時間(時間)_4_上旬,日照時間(時間)_4_中旬,平均風速(m/s)_12_上旬,平均風速(m/s)_1_上旬,平均風速(m/s)_1_下旬,平均風速(m/s)_2_上旬,平均風速(m/s)_2_中旬,平均風速(m/s)_2_下旬,平均風速(m/s)_3_上旬,平均風速(m/s)_3_中旬,平均風速(m/s)_3_下旬,平均風速(m/s)_4_上旬,平均風速(m/s)_4_中旬,日降水量の最大(mm)_12_中旬,日降水量の最大(mm)_2_上旬,日降水量の最大(mm)_3_下旬,最大風速(m/s)_12_上旬,最大風速(m/s)_12_中旬,最大風速(m/s)_12_下旬,最大風速(m/s)_1_上旬,最大風速(m/s)_1_中旬,最大風速(m/s)_2_中旬,最大風速(m/s)_2_下旬,最大風速(m/s)_3_上旬,最大風速(m/s)_3_中旬,最大風速(m/s)_3_下旬,最大風速(m/s)_4_上旬,最大風速(m/s)_4_中旬
ターザン,1992,avg,0.8333333333333334,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,3,8.5,7.1,6.0,8.6,14.4,15.6,11.3,13.8,17.4,4.7,5.0,4.9,2.2,3.3,2.3,2.5,4.8,7.3,3.0,17.0,16.0,5.0,17.0,58.0,19.0,47.1,38.4,31.0,24.9,46.3,43.6,47.6,36.0,38.9,43.2,28.7,29.1,41.8,69.0,1.4,1.8,1.7,2.7,2.0,2.6,3.0,2.2,2.5,2.4,3.2,5.0,4.0,26.0,5.0,8.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,10.0
ターザン,1994,avg,0.3125,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,7.6,4.3,6.3,7.7,13.9,14.5,9.2,11.4,20.7,4.3,3.7,2.2,2.9,0.5,3.3,1.9,3.1,3.8,15.0,0.0,2.0,25.0,24.0,7.0,32.0,40.4,34.8,46.6,49.8,35.3,51.0,44.4,51.1,33.2,51.2,66.7,73.1,72.0,63.5,2.3,1.9,2.5,3.0,2.6,4.0,2.4,2.3,2.5,3.5,3.1,14.0,9.0,3.0,8.0,8.0,10.0,7.0,12.0,8.0,8.0,9.0,6.0,6.0,9.0,15.0
ターザン,1995,avg,0.05,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,7.8,6.2,5.4,7.3,12.3,15.4,10.5,13.4,17.2,4.9,3.9,3.8,2.3,3.7,2.5,2.0,3.4,7.3,26.0,23.0,9.0,11.0,47.0,3.0,18.0,50.3,23.6,35.3,36.5,46.8,48.0,47.7,56.1,50.2,46.3,60.9,50.3,75.5,39.4,2.5,2.7,2.8,2.7,2.1,2.4,2.8,3.2,2.5,3.4,2.6,8.0,0.0,18.0,7.0,6.0,9.0,7.0,7.0,6.0,6.0,11.0,12.0,7.0,9.0,8.0
ターザン,1996,avg,0.0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,7.6,4.4,3.4,6.2,9.9,10.6,9.3,13.2,15.0,3.1,2.1,1.7,3.6,1.4,0.1,1.7,2.1,6.7,12.0,0.0,5.0,13.0,13.0,17.0,55.0,38.1,46.8,48.7,51.9,36.8,47.6,54.9,57.1,46.3,57.3,45.2,41.7,63.2,63.8,2.6,3.0,2.6,3.3,2.5,2.3,2.9,3.1,3.1,2.6,3.0,3.0,0.0,21.0,6.0,6.0,8.0,8.0,9.0,7.0,6.0,7.0,13.0,11.0,6.0,10.0
ターザン,1997,avg,0.3125,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,0,3,3,9.0,4.9,4.9,10.2,14.4,11.2,11.6,12.7,19.8,5.4,2.4,3.0,1.7,1.9,1.5,1.8,4.4,5.3,29.0,14.0,16.0,20.0,5.0,27.0,1.0,31.9,56.4,72.7,46.4,72.0,42.9,49.1,52.3,49.7,62.6,28.8,69.6,29.1,80.6,3.0,3.3,3.1,2.4,2.8,3.3,2.7,2.7,2.8,2.5,2.6,97.0,13.0,19.0,10.0,6.0,7.0,9.0,5.0,8.0,9.0,11.0,6.0,9.0,9.0,7.0
ターザン,1999,avg,0.59375,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,9.8,6.2,5.2,9.8,11.9,13.6,11.7,15.3,18.9,5.3,4.7,2.3,3.5,2.1,1.0,2.1,5.7,4.8,13.0,1.0,5.0,16.0,14.0,53.0,40.0,31.1,57.8,63.7,34.9,47.8,60.5,56.8,46.4,44.4,40.1,29.0,39.1,43.3,47.8,2.0,3.1,2.0,2.5,2.5,2.8,2.5,3.7,2.8,3.8,2.6,0.0,1.0,15.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,12.0,11.0
ターザン,2000,avg,0.05,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,8.6,4.6,5.2,7.7,12.5,13.9,7.5,13.4,19.5,5.6,2.5,3.6,3.7,1.7,1.8,2.1,3.0,5.0,2.0,18.0,8.0,17.0,12.0,30.0,12.0,41.9,36.0,63.5,37.2,31.3,33.5,51.1,62.2,39.1,63.0,58.1,66.0,47.0,63.2,2.1,1.9,2.7,2.5,2.7,2.8,2.4,3.1,3.1,2.7,2.6,0.0,13.0,12.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,11.0,13.0,10.0,9.0
ターザン,2001,avg,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,8.9,5.2,5.4,6.9,13.9,14.0,12.7,14.4,21.6,5.5,3.8,2.7,0.8,1.8,2.8,1.7,2.8,7.5,2.0,13.0,48.0,6.0,20.0,7.0,2.0,56.2,35.1,49.5,25.5,40.7,44.7,33.9,53.3,35.4,41.2,67.5,51.1,81.3,70.6,1.7,3.4,2.5,2.4,2.2,2.9,3.2,2.6,2.5,2.7,2.5,11.0,15.0,22.0,6.0,7.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0
ターザン,2002,avg,0.6944444444444444,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,1,2,0,7.6,5.7,6.0,8.8,15.3,13.4,12.6,17.6,19.9,4.6,3.7,2.3,4.7,3.6,2.2,2.0,4.2,8.1,7.0,0.0,75.0,3.0,28.0,18.0,32.0,37.5,43.9,44.2,39.1,35.1,55.0,42.2,63.5,35.3,70.5,68.6,51.0,66.2,39.8,1.9,3.3,2.8,1.8,2.6,1.8,2.5,2.5,3.3,2.6,3.6,26.0,5.0,32.0,7.0,8.0,6.0,8.0,6.0,7.0,7.0,8.0,10.0,12.0,10.0,11.0
ターザン,2003,avg,0.7884615384615384,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,2,7.2,4.8,6.0,6.7,12.5,12.4,10.6,11.4,20.8,3.8,3.4,0.7,1.7,1.6,1.6,2.9,3.6,5.2,25.0,13.0,27.0,33.0,44.0,14.0,32.0,31.0,29.3,41.4,40.6,49.4,30.4,58.0,52.2,32.0,25.9,58.8,60.8,38.7,42.2,2.5,2.5,3.1,2.4,2.4,2.2,3.8,2.5,1.9,3.4,2.7,9.0,13.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,6.0,9.0,7.0,10.0,13.0,12.0
ターザン,2004,avg,0.1346153846153846,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,1,2,1,7.8,6.7,4.9,6.5,12.2,14.7,14.1,15.8,22.2,4.8,4.1,2.9,2.5,1.8,0.6,0.4,1.8,5.9,12.0,0.0,0.0,0.0,0.0,3.0,28.0,46.3,33.4,59.2,60.7,45.0,8.8,50.9,78.5,57.7,67.3,55.8,54.3,83.6,74.1,2.8,1.8,2.4,4.0,3.0,3.5,4.1,3.0,2.8,2.7,2.8,24.0,2.0,52.0,7.0,7.0,7.0,7.0,7.0,15.0,12.0,11.0,8.0,8.0,11.0,11.0
ターザン,2005,avg,2.041666666666667,0,2,1,5,4,2,1,2,2,0,2,0,2,0,0,0,1,2,1,9.9,5.8,5.4,7.5,13.1,16.7,9.9,12.6,18.4,4.8,4.7,2.3,3.5,1.8,2.5,3.1,2.5,5.0,91.0,6.0,0.0,37.0,12.0,6.0,18.0,43.7,51.1,39.7,37.4,39.6,51.5,38.6,26.1,50.6,60.2,46.4,65.1,53.6,67.4,2.6,3.6,3.2,4.0,2.9,3.6,2.6,3.7,3.8,2.8,2.7,9.0,4.0,16.0,12.0,7.0,11.0,11.0,14.0,9.0,8.0,11.0,12.0,12.0,8.0,9.0
ターザン,2006,avg,0.0,6,6,1,0,1,3,0,3,3,1,0,0,0,0,2,0,1,0,3,5.2,5.1,5.0,7.5,11.9,11.0,12.7,11.9,17.1,2.8,1.5,0.6,1.9,0.5,1.9,2.2,3.1,3.6,10.0,0.0,6.0,26.0,40.0,29.0,49.0,37.4,53.4,54.3,49.5,41.0,48.9,46.5,32.6,40.9,57.4,56.2,68.6,57.3,46.1,4.9,3.5,2.9,4.0,2.3,2.6,2.6,3.9,3.1,3.1,3.6,1.0,18.0,7.0,12.0,12.0,13.0,13.0,8.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0
ターザン,2007,avg,0.0,1,3,3,0,2,0,2,2,0,0,1,1,1,0,0,0,1,0,0,8.6,7.0,7.7,9.0,11.7,12.8,13.5,11.4,18.7,4.5,5.1,3.1,3.5,2.5,3.2,3.6,3.7,6.2,24.0,4.0,0.0,17.0,6.0,18.0,11.0,34.8,36.1,42.2,49.0,58.0,64.3,63.9,59.9,47.6,73.0,72.6,75.6,72.0,66.7,3.4,3.5,2.9,3.0,3.4,2.7,3.7,3.4,2.8,2.4,2.9,11.0,1.0,3.0,10.0,12.0,12.0,13.0,8.0,12.0,7.0,10.0,11.0,9.0,11.0,9.0
ターザン,2008,avg,0.9166666666666666,2,2,1,1,1,1,1,0,0,2,0,0,2,0,1,0,0,3,3,9.9,4.7,4.9,7.0,12.5,13.6,10.8,16.5,18.8,6.5,4.9,2.5,1.6,1.9,1.5,1.8,1.5,6.3,2.0,2.0,23.0,2.0,3.0,90.0,42.0,45.3,43.6,34.3,63.7,36.8,27.0,37.0,72.6,49.3,83.4,60.7,77.5,68.3,48.5,3.9,3.4,3.0,3.2,4.2,4.1,2.7,2.8,3.1,3.0,3.4,3.0,9.0,28.0,10.0,10.0,11.0,11.0,12.0,10.0,13.0,12.0,9.0,8.0,10.3,10.7
ターザン,2009,avg,0.4166666666666667,0,3,3,1,1,0,0,1,0,0,1,1,0,0,0,2,2,0,0,9.0,6.1,6.1,8.3,11.8,14.8,11.7,16.2,22.6,3.2,3.9,3.0,1.0,1.3,1.0,3.9,4.7,4.2,14.0,6.5,50.0,32.5,33.5,33.5,10.5,55.3,52.6,42.5,39.6,52.5,45.5,64.3,54.8,23.0,46.3,69.8,75.7,87.0,79.2,2.7,3.5,3.0,2.3,3.4,2.2,2.5,3.1,3.1,2.4,2.7,10.5,10.0,3.0,11.5,6.7,12.1,11.3,12.8,11.7,10.3,9.3,12.8,9.9,11.6,9.9
ターザン,2010,avg,0.71875,2,2,4,3,0,1,1,3,3,1,0,1,0,0,0,0,2,3,0,8.8,6.8,6.8,9.3,12.5,14.7,16.0,15.9,16.3,6.2,2.0,3.1,0.0,2.2,3.1,2.1,6.4,3.7,14.0,4.5,14.0,24.5,68.0,20.0,116.5,48.8,45.7,61.6,65.0,62.1,57.1,48.7,46.0,43.9,21.6,69.9,54.9,57.3,33.9,2.3,5.4,2.5,3.3,2.8,2.7,2.9,3.5,3.0,2.7,2.8,41.5,18.5,30.0,9.7,11.6,13.5,11.7,11.9,8.4,9.0,10.9,10.3,11.9,9.3,10.6
ターザン,2011,avg,0.0,1,5,1,3,1,0,2,2,1,1,1,0,1,0,0,0,1,0,0,8.8,3.9,5.6,6.0,11.9,15.8,14.7,14.0,18.7,4.6,3.4,0.1,1.3,0.4,0.1,0.4,1.9,2.4,75.0,1.0,0.0,37.0,24.5,3.0,13.5,64.1,41.5,42.4,57.3,66.4,74.3,60.0,45.3,49.8,60.6,68.9,90.0,81.0,71.6,2.9,3.3,4.7,2.1,2.6,2.2,3.1,2.9,2.8,2.8,2.8,5.5,6.5,6.5,14.2,10.5,11.6,10.4,13.1,9.3,6.6,11.6,11.3,12.4,6.9,10.9
ターザン,2012,avg,2.25,1,2,2,1,3,3,0,1,3,0,1,0,0,0,1,0,2,2,1,8.9,4.8,3.9,9.1,10.9,14.1,10.8,12.5,19.6,5.2,2.8,2.0,2.5,1.2,0.7,0.5,5.9,3.4,20.5,0.0,7.5,19.0,49.0,11.0,22.5,29.3,58.2,58.5,56.2,37.8,55.9,45.9,49.5,31.8,22.6,59.1,83.1,84.5,53.5,2.9,3.5,3.9,4.4,2.8,2.0,2.2,2.9,3.4,3.4,2.1,0.0,14.0,18.5,10.2,10.4,12.5,11.9,12.0,10.9,7.1,8.2,10.4,12.8,14.9,8.5
ターザン,2013,avg,0.03571428571428571,0,5,0,2,3,0,1,1,0,0,0,2,2,0,1,0,0,0,1,7.5,5.5,7.0,9.2,12.9,10.7,10.5,16.3,18.5,3.4,2.6,0.5,-0.2,1.3,2.5,0.9,3.0,5.8,11.0,0.0,10.5,31.5,8.5,19.5,14.5,42.8,43.3,42.5,64.5,42.7,60.8,53.2,41.1,57.2,73.3,73.1,48.2,67.9,81.3,4.5,3.0,3.4,2.9,2.7,2.8,2.6,3.1,2.0,3.5,2.9,11.5,11.0,2.5,12.9,9.2,11.6,9.8,12.6,8.7,10.2,10.1,11.2,6.8,13.2,8.7
ターザン,2014,avg,0.5357142857142857,5,3,0,2,1,0,0,1,1,0,2,1,1,1,0,0,1,2,0,6.7,5.9,5.2,5.8,10.7,14.4,12.6,14.5,17.5,3.4,2.5,0.3,-1.2,0.1,1.1,0.6,1.8,6.7,65.5,23.0,9.5,12.0,20.0,46.5,7.5,66.4,24.2,55.4,58.0,63.1,67.7,31.8,41.2,54.7,59.1,63.7,71.3,80.4,59.6,2.7,2.4,2.3,2.3,3.1,2.0,2.9,2.6,3.0,2.2,1.9,20.5,14.5,15.5,12.4,11.3,12.9,9.4,10.8,12.4,7.9,9.8,10.5,11.5,12.2,6.5
ターザン,2015,avg,0.91875,6,2,3,2,4,3,4,0,0,1,1,1,1,0,1,3,1,0,1,6.2,5.8,4.5,6.7,13.1,11.4,12.3,13.8,18.6,3.9,1.4,2.7,1.7,1.7,0.9,2.3,3.2,4.4,14.5,1.0,43.0,2.5,82.5,51.5,32.0,44.6,25.3,65.0,53.0,41.9,44.8,55.9,67.1,36.1,41.1,46.5,100.3,16.2,46.5,4.5,4.6,2.9,3.9,3.7,2.8,3.7,2.6,2.3,2.7,2.9,63.5,0.0,4.0,11.6,14.4,12.5,13.7,11.8,10.9,9.4,12.8,9.2,7.4,9.2,11.1
ターザン,2016,avg,1.607142857142857,2,0,0,3,1,1,0,0,0,2,2,1,2,0,0,1,0,0,2,10.1,5.0,5.3,9.9,15.0,15.5,11.0,14.1,19.6,6.2,4.2,4.3,1.7,1.4,0.6,2.8,5.1,3.3,62.0,0.0,42.0,93.5,39.0,42.0,27.0,52.4,37.0,59.3,48.7,58.4,31.8,62.1,58.0,53.8,57.9,67.1,85.7,37.7,80.0,3.0,2.7,2.9,2.7,3.8,3.0,2.7,2.7,2.2,2.4,3.3,97.0,5.0,0.5,10.3,11.8,8.7,8.8,12.2,12.3,12.1,8.8,8.1,6.9,9.7,12.7
ターザン,2017,avg,0.6875,0,2,1,5,2,3,2,1,0,2,0,1,1,1,0,0,0,2,1,7.6,4.7,5.6,7.1,12.9,15.1,11.7,13.8,20.1,3.1,4.0,2.8,1.0,-0.1,1.8,1.5,1.5,4.8,6.5,27.0,1.5,2.5,2.5,4.5,31.0,54.2,38.6,44.9,60.9,58.8,55.8,53.6,58.0,60.3,60.7,76.1,52.8,51.9,77.4,2.4,2.7,3.1,3.9,3.3,2.9,2.8,2.5,2.2,2.5,3.0,54.0,10.5,16.5,9.6,8.6,10.6,10.6,13.7,10.5,11.5,11.5,10.8,8.3,7.5,10.9
ターザン,2018,avg,0.09375,3,3,2,0,2,0,2,0,0,1,0,0,1,1,1,0,0,1,0,5.5,2.7,2.6,8.8,13.4,11.4,12.2,15.5,20.6,2.2,2.1,2.4,1.0,-0.7,-0.9,-0.5,3.6,4.7,12.0,23.0,3.5,1.0,67.5,40.0,17.5,58.7,42.9,51.0,48.8,63.6,48.4,61.1,64.0,52.3,55.3,65.6,103.1,77.5,70.3,3.3,3.5,4.2,3.6,3.0,1.9,3.4,2.3,2.3,3.0,2.8,0.5,25.0,30.0,11.0,11.1,11.6,12.2,9.0,10.9,11.8,11.6,8.1,9.4,10.9,10.5
ターザン,2019,avg,0.3125,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,2,8.0,5.6,7.0,8.9,10.8,15.1,13.2,13.8,18.8,3.5,3.9,1.3,1.4,0.0,2.3,2.5,4.7,5.5,7.5,0.0,13.0,15.5,39.5,27.5,22.0,26.1,30.6,38.7,40.3,52.5,58.8,47.5,44.9,41.0,49.2,72.4,63.8,93.1,84.6,2.9,2.7,2.9,2.3,2.4,2.0,2.3,3.1,2.7,2.8,2.4,14.5,25.0,9.5,10.6,9.7,11.1,9.3,9.8,8.3,6.3,8.7,11.1,9.7,10.9,6.8
ターザン,2020,avg,1.583333333333333,0,1,2,0,0,2,2,2,0,3,1,0,3,1,0,2,1,0,1,9.0,8.3,5.1,9.4,11.2,13.9,13.4,14.9,17.5,3.9,4.1,5.3,2.7,5.2,-0.5,3.4,5.4,6.2,15.0,15.0,47.5,31.0,53.5,23.5,82.5,46.4,42.8,43.9,57.1,44.9,34.5,63.9,52.5,48.5,50.9,75.2,63.6,87.4,70.5,2.7,3.6,2.8,2.7,3.1,2.4,2.5,2.8,2.3,2.6,3.6,1.0,0.0,8.0,10.2,8.6,13.0,13.1,8.6,11.3,9.3,11.2,11.5,8.8,12.4,12.2
ターザン,2021,avg,0.34375,3,3,2,1,2,1,1,2,0,1,0,0,0,0,0,1,0,2,0,7.9,7.2,7.1,9.6,12.9,15.7,14.2,17.1,18.9,5.1,2.0,0.3,0.2,3.0,1.0,3.5,4.3,7.1,0.0,0.0,38.0,21.0,21.5,61.0,29.0,69.0,36.0,55.4,48.3,66.9,54.0,78.3,65.1,56.1,50.2,72.5,80.3,77.0,75.4,2.0,5.0,2.8,3.1,3.7,1.9,2.7,2.3,2.7,2.2,3.1,0.0,3.0,22.0,6.9,11.7,14.5,13.5,10.2,10.7,7.7,11.5,10.6,9.6,7.3,11.1
ターザン,2022,avg,0.1875,2,5,2,5,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,8.7,5.1,4.8,7.0,12.4,14.1,10.5,18.7,21.4,3.4,2.4,0.1,1.4,0.5,0.8,-0.5,1.3,6.5,4.5,0.5,12.0,27.0,4.0,38.5,24.5,53.6,62.3,68.5,67.2,50.4,50.9,66.3,60.5,63.5,78.1,65.2,51.8,93.8,75.3,2.8,2.3,2.1,3.9,3.4,3.3,2.3,2.1,2.7,2.1,2.2,6.5,0.5,22.0,13.7,15.6,15.1,10.2,12.2,13.1,11.0,9.9,8.2,11.6,6.7,7.2
ターザン,2023,avg,0.40625,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,2,1,6.8,3.5,5.7,9.4,13.9,13.8,11.4,17.7,19.6,3.0,2.3,2.5,3.1,-0.3,0.8,2.4,2.8,8.4,2.0,0.5,15.5,9.5,1.5,30.0,53.5,51.5,36.2,68.4,70.5,49.7,57.0,52.6,47.8,52.7,86.2,76.5,58.6,73.1,64.6,2.4,3.5,3.8,1.9,2.4,1.7,2.1,2.5,2.0,3.4,2.7,6.5,5.5,25.0,9.1,11.5,10.7,9.1,8.6,9.3,6.2,8.4,11.2,6.7,9.0,8.6
